latitude	longitude
43.233777	-100.045615
43.231451	-100.045028
43.229358	-100.043671
43.227209	-100.04125
43.226834	-100.040228
43.226196	-100.039539
43.225397	-100.039142
43.214431	-100.039559
43.214568	-100.011346
43.217554	-100.011708
43.219695	-100.013255
43.222895	-100.017538
43.222774	-99.993063
43.232544	-99.990342
43.241278	-99.986141
43.242235	-99.98574
43.24281	-99.984752
43.242996	-99.982296
43.241579	-99.981101
43.2377	-99.98093
43.218775	-99.978519
43.21499	-99.976461
43.214454	-99.964912
43.214826	-99.873555
43.268675	-99.873016
43.268824	-99.887113
43.254113	-99.886937
43.254231	-99.894387
43.256512	-99.897423
43.259303	-99.896604
43.261766	-99.894856
43.263121	-99.893323
43.264235	-99.892547
43.265239	-99.89272
43.267352	-99.89402
43.269009	-99.896447
43.269021	-99.904796
43.267292	-99.907119
43.263723	-99.908796
43.263932	-99.912673
43.269216	-99.916562
43.269088	-99.946962
43.248356	-99.933728
43.248332	-99.940556
43.252048	-99.942917
43.252172	-99.948336
43.247266	-99.946429
43.244032	-99.943501
43.242631	-99.941362
43.240484	-99.941287
43.238418	-99.943601
43.238487	-99.95835
43.240835	-99.96133
43.242602	-99.961314
43.243264	-99.957501
43.245808	-99.954706
43.249521	-99.951873
43.252289	-99.951353
43.2546	-99.952279
43.269121	-99.954026
43.268796	-99.958959
43.267297	-99.960495
43.262405	-99.96057
43.247488	-99.960262
43.241156	-99.968982
43.248685	-99.981787
43.251201	-99.980134
43.254393	-99.980225
43.254424	-99.996664
43.249201	-99.994807
43.247864	-99.991644
43.246435	-99.988881
43.244203	-99.987826
43.242368	-99.990342
43.242306	-99.994507
43.243123	-99.998385
43.242969	-100.002293
43.245099	-100.007848
43.249481	-100.006623
43.250484	-100.003613
43.251253	-100.001346
43.252302	-99.999937
43.253799	-99.99972
43.255372	-100.000581
43.260246	-99.998883
43.263155	-100.000575
43.263806	-99.996131
43.26666	-99.996051
43.267943	-100.00068
43.272205	-100.000741
43.272304	-100.02938
43.265691	-100.045722
