latitude	longitude
43.266774	-100.039604
43.263416	-100.031578
43.261905	-100.030251
43.260056	-100.025392
43.258394	-100.026974
43.256222	-100.027736
43.256142	-100.024394
43.257257	-100.024122
43.258535	-100.023574
43.259083	-100.022927
43.259205	-100.021962
43.259557	-100.019521
43.259336	-100.017809
43.258614	-100.016795
43.257503	-100.016252
43.256682	-100.015267
43.255029	-100.014324
43.251438	-100.014406
43.251414	-100.012048
43.262345	-100.0104
43.26096	-100.007678
43.260501	-100.001279
43.26189	-99.998859
43.262824	-100.007187
43.26453	-100.010078
43.264376	-100.01296
43.261024	-100.015263
43.261204	-100.023653
43.264324	-100.030228
43.266889	-100.036526
