Created 3/6/2021 10:09 by Windographer 4.2.20

Latitude = 43.241898
Longitude = -99.795624
Elevation = 0 m
Calm threshold = 0 m/s

Included flags: <Unflagged data>
Excluded flags: 

Time stamps indicate the beginning of the time step.

Date/Time	wind direction at 100m [°]	wind speed at 100m [m/s]	
2007-01-01 00:30	307.0	12.290
2007-01-01 01:30	305.7	11.430
2007-01-01 02:30	303.4	10.700
2007-01-01 03:30	301.8	10.320
2007-01-01 04:30	302.0	8.550
2007-01-01 05:30	310.6	7.060
2007-01-01 06:30	303.1	5.860
2007-01-01 07:30	295.8	5.130
2007-01-01 08:30	286.5	4.870
2007-01-01 09:30	267.5	3.680
2007-01-01 10:30	231.4	3.380
2007-01-01 11:30	209.3	1.840
2007-01-01 12:30	204.3	2.270
2007-01-01 13:30	194.9	3.060
2007-01-01 14:30	195.0	5.120
2007-01-01 15:30	186.0	7.220
2007-01-01 16:30	183.7	9.350
2007-01-01 17:30	199.9	11.460
2007-01-01 18:30	211.8	12.450
2007-01-01 19:30	225.1	12.700
2007-01-01 20:30	244.2	10.990
2007-01-01 21:30	266.3	9.740
2007-01-01 22:30	272.1	8.610
2007-01-01 23:30	272.3	8.500
2007-01-02 00:30	270.7	8.490
2007-01-02 01:30	266.6	8.070
2007-01-02 02:30	259.4	7.660
2007-01-02 03:30	252.8	8.420
2007-01-02 04:30	246.3	9.330
2007-01-02 05:30	258.2	10.310
2007-01-02 06:30	257.2	10.110
2007-01-02 07:30	251.9	11.200
2007-01-02 08:30	250.5	11.420
2007-01-02 09:30	247.5	10.860
2007-01-02 10:30	244.7	9.630
2007-01-02 11:30	239.8	8.360
2007-01-02 12:30	236.4	7.960
2007-01-02 13:30	234.9	7.610
2007-01-02 14:30	235.6	8.290
2007-01-02 15:30	239.5	10.310
2007-01-02 16:30	246.6	12.190
2007-01-02 17:30	250.3	13.220
2007-01-02 18:30	249.3	13.560
2007-01-02 19:30	251.7	13.050
2007-01-02 20:30	254.2	13.230
2007-01-02 21:30	253.7	12.970
2007-01-02 22:30	262.1	12.120
2007-01-02 23:30	269.4	10.900
2007-01-03 00:30	273.1	10.670
2007-01-03 01:30	270.1	10.720
2007-01-03 02:30	270.7	10.650
2007-01-03 03:30	272.3	10.130
2007-01-03 04:30	268.1	9.760
2007-01-03 05:30	262.3	10.100
2007-01-03 06:30	256.2	8.850
2007-01-03 07:30	253.7	8.170
2007-01-03 08:30	249.0	8.180
2007-01-03 09:30	243.7	8.220
2007-01-03 10:30	241.1	7.760
2007-01-03 11:30	237.2	6.840
2007-01-03 12:30	243.5	5.290
2007-01-03 13:30	247.2	4.490
2007-01-03 14:30	244.8	5.210
2007-01-03 15:30	263.0	6.210
2007-01-03 16:30	282.9	5.170
2007-01-03 17:30	292.8	3.920
2007-01-03 18:30	287.7	2.710
2007-01-03 19:30	242.4	3.720
2007-01-03 20:30	250.9	6.490
2007-01-03 21:30	250.8	12.570
2007-01-03 22:30	254.7	14.000
2007-01-03 23:30	254.2	13.620
2007-01-04 00:30	254.3	14.810
2007-01-04 01:30	258.8	14.040
2007-01-04 02:30	267.6	13.320
2007-01-04 03:30	278.6	11.840
2007-01-04 04:30	282.7	10.450
2007-01-04 05:30	279.1	10.420
2007-01-04 06:30	280.4	10.580
2007-01-04 07:30	278.4	10.610
2007-01-04 08:30	279.9	11.720
2007-01-04 09:30	284.1	11.250
2007-01-04 10:30	291.7	8.570
2007-01-04 11:30	290.5	6.810
2007-01-04 12:30	288.9	5.870
2007-01-04 13:30	299.8	6.230
2007-01-04 14:30	299.4	7.860
2007-01-04 15:30	301.7	10.170
2007-01-04 16:30	302.8	9.310
2007-01-04 17:30	299.4	11.960
2007-01-04 18:30	302.0	13.060
2007-01-04 19:30	314.5	10.470
2007-01-04 20:30	284.2	8.870
2007-01-04 21:30	283.4	9.560
2007-01-04 22:30	299.7	11.850
2007-01-04 23:30	305.1	12.000
2007-01-05 00:30	299.3	10.460
2007-01-05 01:30	305.9	11.110
2007-01-05 02:30	301.4	10.700
2007-01-05 03:30	303.4	11.510
2007-01-05 04:30	299.4	10.780
2007-01-05 05:30	301.7	10.940
2007-01-05 06:30	302.6	11.310
